Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Age_Band,Device_Type,Health_Impact_Type,Device_Share,Edu_Recreational_Percent
11,Female,5.34,Smartphone,True,0.4,"poor sleep, eye strain",Urban,Pre-teens,Portable,Physical,0.47034596375617793,40.0
16,Female,3.5,Laptop,True,0.4,"eye strain, obesity risk",Rural,Teenagers,Portable,Physical,0.1475494233937397,40.0
10,Male,11.68,TV,True,0.47,poor sleep,Urban,Pre-teens,Wallmounted,Physical,0.25607495881383857,47.0
12,Female,1.63,Smartphone,False,0.5,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,50.0
10,Male,4.63,Smartphone,True,0.47,poor sleep,Urban,Pre-teens,Portable,Physical,0.47034596375617793,47.0
14,Male,4.21,TV,True,0.38,poor sleep,Urban,Teenagers,Wallmounted,Physical,0.25607495881383857,38.0
12,Male,4.56,Smartphone,True,0.5,"poor sleep, eye strain",Urban,Pre-teens,Portable,Physical,0.47034596375617793,50.0
16,Female,3.51,TV,True,0.44,"poor sleep, anxiety",Urban,Teenagers,Wallmounted,Physical & Mental,0.25607495881383857,44.0
14,Female,4.69,Smartphone,True,0.35,"poor sleep, eye strain",Urban,Teenagers,Portable,Physical,0.47034596375617793,35.0
9,Male,7.61,TV,True,0.5,poor sleep,Urban,Pre-teens,Wallmounted,Physical,0.25607495881383857,50.0
11,Male,2.75,Smartphone,False,0.35,no health impact,Rural,Pre-teens,Portable,None,0.47034596375617793,35.0
16,Male,6.74,TV,True,0.42,"eye strain, anxiety, obesity risk",Urban,Teenagers,Wallmounted,Physical & Mental,0.25607495881383857,42.0
9,Female,0.0,Smartphone,False,0.47,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,47.0
17,Male,2.34,Smartphone,False,0.48,no health impact,Rural,Late teens,Portable,None,0.47034596375617793,48.0
16,Male,2.85,Smartphone,False,0.3,no health impact,Rural,Teenagers,Portable,None,0.47034596375617793,30.0
17,Male,4.29,Laptop,True,0.39,"poor sleep, eye strain",Rural,Late teens,Portable,Physical,0.1475494233937397,39.0
12,Male,6.03,TV,True,0.39,"poor sleep, anxiety",Urban,Pre-teens,Wallmounted,Physical & Mental,0.25607495881383857,39.0
9,Female,1.06,Smartphone,False,0.42,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,42.0
11,Male,2.83,Smartphone,False,0.4,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,40.0
14,Male,3.92,Smartphone,True,0.47,no health impact,Urban,Teenagers,Portable,None,0.47034596375617793,47.0
15,Male,4.55,Smartphone,True,0.39,"poor sleep, anxiety",Urban,Teenagers,Portable,Physical & Mental,0.47034596375617793,39.0
10,Female,6.86,Smartphone,True,0.56,poor sleep,Rural,Pre-teens,Portable,Physical,0.47034596375617793,56.00000000000001
8,Male,3.47,TV,True,0.41,"poor sleep, obesity risk",Rural,Pre-teens,Wallmounted,Physical,0.25607495881383857,41.0
11,Female,4.61,Tablet,True,0.46,poor sleep,Urban,Pre-teens,Portable,Physical,0.12602965403624383,46.0
9,Male,0.0,Smartphone,False,0.59,no health impact,Rural,Pre-teens,Portable,None,0.47034596375617793,59.0
15,Male,3.47,Smartphone,True,0.41,no health impact,Rural,Teenagers,Portable,None,0.47034596375617793,41.0
11,Male,4.31,TV,True,0.42,poor sleep,Urban,Pre-teens,Wallmounted,Physical,0.25607495881383857,42.0
9,Male,2.3,Smartphone,True,0.45,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,45.0
13,Male,4.5,Laptop,True,0.38,no health impact,Urban,Teenagers,Portable,None,0.1475494233937397,38.0
13,Female,2.65,Laptop,False,0.38,no health impact,Rural,Teenagers,Portable,None,0.1475494233937397,38.0
17,Male,5.34,Laptop,True,0.43,no health impact,Urban,Late teens,Portable,None,0.1475494233937397,43.0
11,Male,3.87,TV,True,0.43,"poor sleep, obesity risk",Urban,Pre-teens,Wallmounted,Physical,0.25607495881383857,43.0
13,Male,5.67,Tablet,True,0.41,"poor sleep, anxiety",Urban,Teenagers,Portable,Physical & Mental,0.12602965403624383,41.0
9,Female,3.8,TV,True,0.53,"poor sleep, eye strain",Rural,Pre-teens,Wallmounted,Physical,0.25607495881383857,53.0
17,Male,4.61,TV,True,0.34,"poor sleep, obesity risk",Rural,Late teens,Wallmounted,Physical,0.25607495881383857,34.0
9,Male,0.9,Tablet,False,0.6,no health impact,Rural,Pre-teens,Portable,None,0.12602965403624383,60.0
17,Female,3.3,TV,True,0.42,no health impact,Urban,Late teens,Wallmounted,None,0.25607495881383857,42.0
11,Male,5.12,TV,True,0.31,poor sleep,Urban,Pre-teens,Wallmounted,Physical,0.25607495881383857,31.0
15,Female,5.82,TV,True,0.48,poor sleep,Urban,Teenagers,Wallmounted,Physical,0.25607495881383857,48.0
14,Female,4.27,Smartphone,True,0.47,"poor sleep, eye strain",Rural,Teenagers,Portable,Physical,0.47034596375617793,47.0
16,Male,5.79,Smartphone,True,0.35,poor sleep,Urban,Teenagers,Portable,Physical,0.47034596375617793,35.0
15,Female,2.69,TV,False,0.32,no health impact,Urban,Teenagers,Wallmounted,None,0.25607495881383857,32.0
12,Female,3.64,Smartphone,True,0.44,poor sleep,Urban,Pre-teens,Portable,Physical,0.47034596375617793,44.0
9,Male,4.23,TV,True,0.46,no health impact,Urban,Pre-teens,Wallmounted,None,0.25607495881383857,46.0
12,Male,6.15,Laptop,True,0.41,poor sleep,Urban,Pre-teens,Portable,Physical,0.1475494233937397,41.0
15,Female,5.72,Tablet,True,0.33,"poor sleep, eye strain",Urban,Teenagers,Portable,Physical,0.12602965403624383,33.0
17,Male,3.41,Laptop,True,0.31,no health impact,Rural,Late teens,Portable,None,0.1475494233937397,31.0
16,Male,4.45,Laptop,True,0.48,"poor sleep, eye strain",Urban,Teenagers,Portable,Physical,0.1475494233937397,48.0
16,Male,2.9,Smartphone,False,0.31,no health impact,Urban,Teenagers,Portable,None,0.47034596375617793,31.0
8,Female,7.54,Smartphone,True,0.46,"poor sleep, eye strain",Urban,Pre-teens,Portable,Physical,0.47034596375617793,46.0
16,Male,4.34,Tablet,True,0.48,"poor sleep, anxiety",Urban,Teenagers,Portable,Physical & Mental,0.12602965403624383,48.0
14,Female,5.43,Smartphone,True,0.49,no health impact,Urban,Teenagers,Portable,None,0.47034596375617793,49.0
16,Female,4.78,Tablet,True,0.33,"poor sleep, anxiety",Rural,Teenagers,Portable,Physical & Mental,0.12602965403624383,33.0
15,Female,3.64,Tablet,True,0.48,"poor sleep, anxiety, obesity risk",Urban,Teenagers,Portable,Physical & Mental,0.12602965403624383,48.0
8,Female,1.67,Smartphone,False,0.45,no health impact,Rural,Pre-teens,Portable,None,0.47034596375617793,45.0
15,Female,4.96,Tablet,True,0.42,"anxiety, obesity risk",Rural,Teenagers,Portable,Mental,0.12602965403624383,42.0
15,Male,5.91,Smartphone,True,0.44,"poor sleep, eye strain",Urban,Teenagers,Portable,Physical,0.47034596375617793,44.0
18,Female,6.3,Tablet,True,0.39,poor sleep,Rural,Late teens,Portable,Physical,0.12602965403624383,39.0
10,Female,0.0,Tablet,False,0.4,no health impact,Urban,Pre-teens,Portable,None,0.12602965403624383,40.0
8,Male,3.39,TV,True,0.43,no health impact,Rural,Pre-teens,Wallmounted,None,0.25607495881383857,43.0
15,Male,3.57,Smartphone,True,0.32,"poor sleep, obesity risk",Rural,Teenagers,Portable,Physical,0.47034596375617793,32.0
10,Female,1.36,Smartphone,False,0.57,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,56.99999999999999
10,Male,0.0,Smartphone,False,0.45,no health impact,Rural,Pre-teens,Portable,None,0.47034596375617793,45.0
8,Male,2.75,TV,True,0.53,no health impact,Rural,Pre-teens,Wallmounted,None,0.25607495881383857,53.0
18,Female,6.4,Smartphone,True,0.32,no health impact,Urban,Late teens,Portable,None,0.47034596375617793,32.0
12,Female,3.77,Laptop,True,0.48,poor sleep,Rural,Pre-teens,Portable,Physical,0.1475494233937397,48.0
17,Female,4.73,Smartphone,True,0.47,poor sleep,Urban,Late teens,Portable,Physical,0.47034596375617793,47.0
14,Male,5.76,Tablet,True,0.4,poor sleep,Urban,Teenagers,Portable,Physical,0.12602965403624383,40.0
17,Female,2.78,Smartphone,False,0.34,no health impact,Urban,Late teens,Portable,None,0.47034596375617793,34.0
16,Female,3.93,Smartphone,True,0.39,poor sleep,Rural,Teenagers,Portable,Physical,0.47034596375617793,39.0
14,Male,4.61,TV,True,0.31,obesity risk,Urban,Teenagers,Wallmounted,Other,0.25607495881383857,31.0
16,Male,5.67,TV,True,0.49,poor sleep,Urban,Teenagers,Wallmounted,Physical,0.25607495881383857,49.0
15,Female,4.51,Laptop,True,0.4,poor sleep,Urban,Teenagers,Portable,Physical,0.1475494233937397,40.0
9,Female,0.45,Smartphone,False,0.46,no health impact,Rural,Pre-teens,Portable,None,0.47034596375617793,46.0
8,Male,2.52,Smartphone,True,0.58,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,57.99999999999999
14,Male,6.04,Smartphone,True,0.39,no health impact,Urban,Teenagers,Portable,None,0.47034596375617793,39.0
14,Female,6.1,Smartphone,True,0.47,poor sleep,Rural,Teenagers,Portable,Physical,0.47034596375617793,47.0
15,Male,5.61,Smartphone,True,0.39,obesity risk,Urban,Teenagers,Portable,Other,0.47034596375617793,39.0
12,Male,2.34,Smartphone,False,0.37,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,37.0
10,Male,6.86,TV,True,0.56,poor sleep,Urban,Pre-teens,Wallmounted,Physical,0.25607495881383857,56.00000000000001
15,Female,3.78,Laptop,True,0.31,poor sleep,Rural,Teenagers,Portable,Physical,0.1475494233937397,31.0
13,Male,4.67,Smartphone,True,0.44,"anxiety, obesity risk",Urban,Teenagers,Portable,Mental,0.47034596375617793,44.0
18,Male,3.25,Tablet,True,0.45,"poor sleep, eye strain",Rural,Late teens,Portable,Physical,0.12602965403624383,45.0
10,Male,4.98,Smartphone,True,0.46,no health impact,Rural,Pre-teens,Portable,None,0.47034596375617793,46.0
8,Male,5.22,Smartphone,True,0.45,"poor sleep, eye strain, obesity risk",Urban,Pre-teens,Portable,Physical,0.47034596375617793,45.0
10,Female,5.02,TV,True,0.6,no health impact,Urban,Pre-teens,Wallmounted,None,0.25607495881383857,60.0
12,Male,6.06,Smartphone,True,0.43,eye strain,Urban,Pre-teens,Portable,Physical,0.47034596375617793,43.0
10,Female,1.86,Smartphone,False,0.46,no health impact,Rural,Pre-teens,Portable,None,0.47034596375617793,46.0
8,Female,6.48,Smartphone,True,0.48,no health impact,Rural,Pre-teens,Portable,None,0.47034596375617793,48.0
12,Male,4.37,Laptop,True,0.46,eye strain,Rural,Pre-teens,Portable,Physical,0.1475494233937397,46.0
17,Male,4.16,Laptop,True,0.31,poor sleep,Rural,Late teens,Portable,Physical,0.1475494233937397,31.0
14,Female,3.91,Laptop,True,0.39,eye strain,Urban,Teenagers,Portable,Physical,0.1475494233937397,39.0
14,Male,4.54,Laptop,True,0.41,poor sleep,Urban,Teenagers,Portable,Physical,0.1475494233937397,41.0
18,Female,4.59,Smartphone,True,0.35,"poor sleep, anxiety, obesity risk",Rural,Late teens,Portable,Physical & Mental,0.47034596375617793,35.0
16,Female,2.42,Smartphone,False,0.45,no health impact,Urban,Teenagers,Portable,None,0.47034596375617793,45.0
17,Male,6.78,Smartphone,True,0.49,poor sleep,Urban,Late teens,Portable,Physical,0.47034596375617793,49.0
17,Female,4.19,TV,True,0.48,obesity risk,Rural,Late teens,Wallmounted,Other,0.25607495881383857,48.0
10,Female,3.27,TV,True,0.48,"poor sleep, eye strain",Rural,Pre-teens,Wallmounted,Physical,0.25607495881383857,48.0
14,Male,6.01,Tablet,True,0.34,"poor sleep, eye strain",Urban,Teenagers,Portable,Physical,0.12602965403624383,34.0
8,Female,4.74,Smartphone,True,0.5,"eye strain, obesity risk",Urban,Pre-teens,Portable,Physical,0.47034596375617793,50.0
11,Female,3.42,Smartphone,True,0.43,"poor sleep, eye strain, obesity risk",Urban,Pre-teens,Portable,Physical,0.47034596375617793,43.0
11,Female,5.47,Smartphone,True,0.41,"poor sleep, anxiety",Urban,Pre-teens,Portable,Physical & Mental,0.47034596375617793,41.0
12,Female,6.28,Smartphone,True,0.32,poor sleep,Rural,Pre-teens,Portable,Physical,0.47034596375617793,32.0
14,Male,3.26,Smartphone,True,0.46,"poor sleep, anxiety",Urban,Teenagers,Portable,Physical & Mental,0.47034596375617793,46.0
14,Male,6.06,Smartphone,True,0.38,anxiety,Urban,Teenagers,Portable,Mental,0.47034596375617793,38.0
18,Female,4.67,TV,True,0.32,poor sleep,Urban,Late teens,Wallmounted,Physical,0.25607495881383857,32.0
11,Male,3.75,Smartphone,True,0.43,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,43.0
14,Female,6.7,Smartphone,True,0.3,"poor sleep, eye strain",Urban,Teenagers,Portable,Physical,0.47034596375617793,30.0
18,Female,3.58,Smartphone,True,0.38,no health impact,Urban,Late teens,Portable,None,0.47034596375617793,38.0
10,Female,2.51,TV,True,0.47,no health impact,Rural,Pre-teens,Wallmounted,None,0.25607495881383857,47.0
13,Male,5.24,Smartphone,True,0.43,poor sleep,Urban,Teenagers,Portable,Physical,0.47034596375617793,43.0
9,Female,0.0,Tablet,False,0.49,no health impact,Rural,Pre-teens,Portable,None,0.12602965403624383,49.0
17,Female,5.14,Smartphone,True,0.36,poor sleep,Urban,Late teens,Portable,Physical,0.47034596375617793,36.0
16,Female,3.7,Tablet,True,0.33,eye strain,Urban,Teenagers,Portable,Physical,0.12602965403624383,33.0
12,Male,4.79,TV,True,0.32,poor sleep,Urban,Pre-teens,Wallmounted,Physical,0.25607495881383857,32.0
13,Male,3.3,Tablet,True,0.43,"poor sleep, eye strain, anxiety",Rural,Teenagers,Portable,Physical & Mental,0.12602965403624383,43.0
11,Female,5.97,Smartphone,True,0.5,poor sleep,Urban,Pre-teens,Portable,Physical,0.47034596375617793,50.0
18,Female,3.05,Smartphone,True,0.37,"eye strain, anxiety, obesity risk",Urban,Late teens,Portable,Physical & Mental,0.47034596375617793,37.0
17,Female,5.18,Smartphone,True,0.42,eye strain,Urban,Late teens,Portable,Physical,0.47034596375617793,42.0
14,Female,3.66,Laptop,True,0.33,"poor sleep, eye strain",Urban,Teenagers,Portable,Physical,0.1475494233937397,33.0
16,Male,4.08,Smartphone,True,0.47,no health impact,Urban,Teenagers,Portable,None,0.47034596375617793,47.0
14,Female,4.41,TV,True,0.32,no health impact,Urban,Teenagers,Wallmounted,None,0.25607495881383857,32.0
8,Female,4.84,Smartphone,True,0.54,poor sleep,Urban,Pre-teens,Portable,Physical,0.47034596375617793,54.0
8,Female,6.82,Smartphone,True,0.52,no health impact,Rural,Pre-teens,Portable,None,0.47034596375617793,52.0
16,Female,4.6,Smartphone,True,0.4,poor sleep,Urban,Teenagers,Portable,Physical,0.47034596375617793,40.0
18,Female,4.06,Smartphone,True,0.44,poor sleep,Urban,Late teens,Portable,Physical,0.47034596375617793,44.0
16,Female,6.5,TV,True,0.49,no health impact,Urban,Teenagers,Wallmounted,None,0.25607495881383857,49.0
11,Female,4.21,TV,True,0.3,"poor sleep, eye strain, anxiety, obesity risk",Rural,Pre-teens,Wallmounted,Physical & Mental,0.25607495881383857,30.0
16,Female,7.07,Laptop,True,0.36,poor sleep,Urban,Teenagers,Portable,Physical,0.1475494233937397,36.0
10,Male,2.48,Smartphone,True,0.51,no health impact,Rural,Pre-teens,Portable,None,0.47034596375617793,51.0
14,Female,4.06,Smartphone,True,0.42,poor sleep,Urban,Teenagers,Portable,Physical,0.47034596375617793,42.0
13,Male,3.9,Smartphone,True,0.36,no health impact,Urban,Teenagers,Portable,None,0.47034596375617793,36.0
15,Female,2.38,TV,False,0.33,no health impact,Urban,Teenagers,Wallmounted,None,0.25607495881383857,33.0
18,Female,6.59,Laptop,True,0.39,poor sleep,Rural,Late teens,Portable,Physical,0.1475494233937397,39.0
16,Male,5.6,Laptop,True,0.4,poor sleep,Rural,Teenagers,Portable,Physical,0.1475494233937397,40.0
12,Male,5.32,Laptop,True,0.31,poor sleep,Urban,Pre-teens,Portable,Physical,0.1475494233937397,31.0
8,Male,4.82,TV,True,0.51,"poor sleep, eye strain, anxiety",Rural,Pre-teens,Wallmounted,Physical & Mental,0.25607495881383857,51.0
10,Male,3.69,TV,True,0.56,poor sleep,Urban,Pre-teens,Wallmounted,Physical,0.25607495881383857,56.00000000000001
17,Male,4.17,TV,True,0.39,poor sleep,Urban,Late teens,Wallmounted,Physical,0.25607495881383857,39.0
15,Male,4.09,TV,True,0.35,"poor sleep, anxiety",Urban,Teenagers,Wallmounted,Physical & Mental,0.25607495881383857,35.0
18,Male,5.83,Smartphone,True,0.39,anxiety,Rural,Late teens,Portable,Mental,0.47034596375617793,39.0
13,Female,4.74,Laptop,True,0.44,poor sleep,Rural,Teenagers,Portable,Physical,0.1475494233937397,44.0
15,Female,4.01,TV,True,0.39,"poor sleep, eye strain",Urban,Teenagers,Wallmounted,Physical,0.25607495881383857,39.0
16,Female,2.59,Laptop,False,0.44,no health impact,Urban,Teenagers,Portable,None,0.1475494233937397,44.0
11,Female,4.94,Smartphone,True,0.45,poor sleep,Urban,Pre-teens,Portable,Physical,0.47034596375617793,45.0
8,Male,4.15,TV,True,0.59,eye strain,Rural,Pre-teens,Wallmounted,Physical,0.25607495881383857,59.0
8,Male,0.3,TV,False,0.48,no health impact,Urban,Pre-teens,Wallmounted,None,0.25607495881383857,48.0
17,Female,4.75,Tablet,True,0.37,obesity risk,Rural,Late teens,Portable,Other,0.12602965403624383,37.0
11,Male,5.12,Laptop,True,0.48,no health impact,Urban,Pre-teens,Portable,None,0.1475494233937397,48.0
14,Male,3.2,Smartphone,True,0.4,"poor sleep, obesity risk",Urban,Teenagers,Portable,Physical,0.47034596375617793,40.0
9,Male,5.72,Smartphone,True,0.51,eye strain,Urban,Pre-teens,Portable,Physical,0.47034596375617793,51.0
10,Male,6.8,TV,True,0.43,no health impact,Rural,Pre-teens,Wallmounted,None,0.25607495881383857,43.0
8,Female,4.73,Tablet,True,0.42,"poor sleep, anxiety",Urban,Pre-teens,Portable,Physical & Mental,0.12602965403624383,42.0
12,Male,1.51,Smartphone,False,0.5,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,50.0
8,Female,7.74,Tablet,True,0.5,poor sleep,Urban,Pre-teens,Portable,Physical,0.12602965403624383,50.0
15,Female,5.08,Smartphone,True,0.33,"poor sleep, eye strain",Urban,Teenagers,Portable,Physical,0.47034596375617793,33.0
8,Female,1.13,TV,False,0.41,no health impact,Urban,Pre-teens,Wallmounted,None,0.25607495881383857,41.0
18,Male,5.12,Smartphone,True,0.46,"poor sleep, eye strain, obesity risk",Rural,Late teens,Portable,Physical,0.47034596375617793,46.0
8,Male,6.34,TV,True,0.51,poor sleep,Urban,Pre-teens,Wallmounted,Physical,0.25607495881383857,51.0
9,Female,5.05,Smartphone,True,0.58,poor sleep,Urban,Pre-teens,Portable,Physical,0.47034596375617793,57.99999999999999
9,Female,0.73,Smartphone,False,0.58,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,57.99999999999999
13,Male,5.49,Smartphone,True,0.45,poor sleep,Urban,Teenagers,Portable,Physical,0.47034596375617793,45.0
14,Female,4.51,Laptop,True,0.36,poor sleep,Urban,Teenagers,Portable,Physical,0.1475494233937397,36.0
12,Male,2.9,Smartphone,False,0.48,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,48.0
8,Male,6.29,Tablet,True,0.49,poor sleep,Urban,Pre-teens,Portable,Physical,0.12602965403624383,49.0
8,Male,2.1,Smartphone,True,0.5,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,50.0
10,Female,4.53,TV,True,0.47,poor sleep,Urban,Pre-teens,Wallmounted,Physical,0.25607495881383857,47.0
9,Female,2.44,Tablet,True,0.48,no health impact,Rural,Pre-teens,Portable,None,0.12602965403624383,48.0
12,Female,2.14,Smartphone,False,0.4,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,40.0
17,Female,2.72,Smartphone,False,0.33,no health impact,Urban,Late teens,Portable,None,0.47034596375617793,33.0
13,Female,4.49,Smartphone,True,0.41,"poor sleep, anxiety",Urban,Teenagers,Portable,Physical & Mental,0.47034596375617793,41.0
14,Female,3.15,Tablet,True,0.38,no health impact,Urban,Teenagers,Portable,None,0.12602965403624383,38.0
11,Male,3.74,Smartphone,True,0.42,"eye strain, anxiety",Rural,Pre-teens,Portable,Physical & Mental,0.47034596375617793,42.0
14,Female,3.82,Tablet,True,0.46,poor sleep,Urban,Teenagers,Portable,Physical,0.12602965403624383,46.0
18,Female,6.53,TV,True,0.43,poor sleep,Urban,Late teens,Wallmounted,Physical,0.25607495881383857,43.0
15,Female,4.54,Laptop,True,0.46,"poor sleep, eye strain",Urban,Teenagers,Portable,Physical,0.1475494233937397,46.0
18,Female,3.87,Laptop,True,0.36,no health impact,Urban,Late teens,Portable,None,0.1475494233937397,36.0
8,Female,0.1,Tablet,False,0.5,no health impact,Rural,Pre-teens,Portable,None,0.12602965403624383,50.0
13,Male,4.44,Smartphone,True,0.39,poor sleep,Urban,Teenagers,Portable,Physical,0.47034596375617793,39.0
15,Male,4.75,Smartphone,True,0.44,no health impact,Rural,Teenagers,Portable,None,0.47034596375617793,44.0
12,Female,3.65,Tablet,True,0.4,eye strain,Urban,Pre-teens,Portable,Physical,0.12602965403624383,40.0
11,Male,3.85,Laptop,True,0.31,"poor sleep, eye strain, obesity risk",Urban,Pre-teens,Portable,Physical,0.1475494233937397,31.0
9,Male,2.32,TV,True,0.51,no health impact,Urban,Pre-teens,Wallmounted,None,0.25607495881383857,51.0
13,Male,3.65,Laptop,True,0.37,"poor sleep, eye strain",Rural,Teenagers,Portable,Physical,0.1475494233937397,37.0
13,Female,5.78,TV,True,0.43,"poor sleep, obesity risk",Rural,Teenagers,Wallmounted,Physical,0.25607495881383857,43.0
18,Male,2.96,TV,False,0.43,no health impact,Urban,Late teens,Wallmounted,None,0.25607495881383857,43.0
8,Female,0.91,Smartphone,False,0.43,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,43.0
16,Male,4.17,Smartphone,True,0.36,"poor sleep, eye strain",Urban,Teenagers,Portable,Physical,0.47034596375617793,36.0
18,Male,3.98,Laptop,True,0.37,poor sleep,Urban,Late teens,Portable,Physical,0.1475494233937397,37.0
13,Male,2.94,Smartphone,False,0.43,no health impact,Urban,Teenagers,Portable,None,0.47034596375617793,43.0
10,Female,6.63,TV,True,0.54,"poor sleep, eye strain",Urban,Pre-teens,Wallmounted,Physical,0.25607495881383857,54.0
11,Male,2.9,TV,False,0.36,no health impact,Urban,Pre-teens,Wallmounted,None,0.25607495881383857,36.0
18,Female,5.84,Smartphone,True,0.43,eye strain,Urban,Late teens,Portable,Physical,0.47034596375617793,43.0
11,Male,4.78,Smartphone,True,0.39,"poor sleep, anxiety",Rural,Pre-teens,Portable,Physical & Mental,0.47034596375617793,39.0
10,Male,4.13,Smartphone,True,0.4,poor sleep,Urban,Pre-teens,Portable,Physical,0.47034596375617793,40.0
17,Male,3.67,Smartphone,True,0.34,poor sleep,Urban,Late teens,Portable,Physical,0.47034596375617793,34.0
10,Male,3.02,TV,True,0.46,"poor sleep, obesity risk",Rural,Pre-teens,Wallmounted,Physical,0.25607495881383857,46.0
