Age,Age_Band,Avg_Screen_Time,Device_Category,Dynamic_Title,Edu_Recreation_Level,Educational_to_Recreational_Ratio,Exceeded_Recommended_Limit,Gender,Health_Impact_Category,Health_Impact_Perc,Health_Impacts,Most_Used_Device,Primary_Device,Total_Kids,Urban_or_Rural
8,Child,6,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.44,true,Male,No Health Impacts,,No Health Impacts,TV,TV,2,Rural
8,Child,2.68,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.44,true,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,4.57,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.44,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,2,Rural
8,Child,6.785,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.44,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,2,Urban
8,Child,5.12,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.44,true,Male,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,1,Urban
8,Child,1.67,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.45,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,0.66,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.45,false,Female,No Health Impacts,,No Health Impacts,TV,TV,3,Urban
8,Child,2.92,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.45,true,Female,No Health Impacts,,No Health Impacts,TV,TV,2,Rural
8,Child,5.78,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.45,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,2,Rural
8,Child,4.51,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.45,true,Female,Physical Health,100.0%,"Poor Sleep, Obesity Risk",TV,TV,1,Rural
8,Child,2.32,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.45,true,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,3.415,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.45,true,Male,No Health Impacts,,No Health Impacts,TV,TV,2,Urban
8,Child,5.08,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.45,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,6,Urban
8,Child,5.76,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.45,true,Male,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,1,Urban
8,Child,0.4,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.46,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,1.87,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.46,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,0.875,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.46,false,Male,No Health Impacts,,No Health Impacts,TV,TV,2,Rural
8,Child,1.02,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.46,false,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,3.67,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.46,true,Female,Both,100.0%,"Poor Sleep, Anxiety",TV,TV,1,Rural
8,Child,3.41,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.46,true,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,6.17,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.46,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,1,Rural
8,Child,9.92,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.46,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,1,Urban
8,Child,3.17,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.46,true,Female,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,1,Urban
8,Child,5.49,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.46,true,Female,Physical Health,100.0%,"Poor Sleep, Obesity Risk",TV,TV,1,Rural
8,Child,8.18,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.46,true,Female,Physical Health,100.0%,"Poor Sleep, Obesity Risk",TV,TV,1,Urban
8,Child,3,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.46,true,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,4.17,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.46,true,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,4.31,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.46,true,Male,Physical Health,100.0%,Eye Strain,TV,TV,1,Urban
8,Child,4.53,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.46,true,Male,Physical Health,100.0%,Obesity Risk,TV,TV,1,Urban
8,Child,4.15,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.46,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,1,Rural
8,Child,6.465,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.46,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,2,Urban
8,Child,5.89,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.46,true,Male,Physical Health,100.0%,"Poor Sleep, Obesity Risk",TV,TV,1,Urban
8,Child,0.73,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.47,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,0,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.47,false,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,0.48,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.47,false,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,4.275,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.47,true,Female,No Health Impacts,,No Health Impacts,TV,TV,2,Rural
8,Child,2.37,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.47,true,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,5.12,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.47,true,Female,Physical Health,100.0%,Eye Strain,TV,TV,1,Urban
8,Child,3.29,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.47,true,Female,Physical Health,100.0%,Obesity Risk,TV,TV,1,Rural
8,Child,5.27,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.47,true,Female,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,1,Urban
8,Child,4.14,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.47,true,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,3.12,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.47,true,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,3.62,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.47,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,2,Rural
8,Child,6.08,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.47,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,2,Urban
8,Child,4.72,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.47,true,Male,Physical Health,100.0%,"Poor Sleep, Obesity Risk",TV,TV,1,Rural
8,Child,1.56,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.48,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,0,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.48,false,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,0.435,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.48,false,Male,No Health Impacts,,No Health Impacts,TV,TV,2,Urban
8,Child,9.68,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.48,true,Female,Physical Health,100.0%,Obesity Risk,TV,TV,1,Rural
8,Child,9.19,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.48,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,1,Rural
8,Child,5.7,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.48,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,1,Urban
8,Child,5.265,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.48,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,2,Urban
8,Child,6.16,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.48,true,Male,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,1,Rural
8,Child,1.89,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.49,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,0.73,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.49,false,Female,No Health Impacts,,No Health Impacts,TV,TV,2,Urban
8,Child,0.835,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.49,false,Male,No Health Impacts,,No Health Impacts,TV,TV,2,Urban
8,Child,4.3275,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.49,true,Female,No Health Impacts,,No Health Impacts,TV,TV,4,Urban
8,Child,10.49,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.49,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,1,Rural
8,Child,7.27,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.49,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,1,Urban
8,Child,3.35,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.49,true,Male,Physical Health,100.0%,Eye Strain,TV,TV,1,Urban
8,Child,8.51,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.49,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,1,Urban
8,Child,5.28,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.49,true,Male,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,1,Rural
8,Child,0.455,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.5,false,Female,No Health Impacts,,No Health Impacts,TV,TV,2,Urban
8,Child,5.04,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.5,true,Female,Both,100.0%,"Eye Strain, Anxiety",TV,TV,1,Rural
8,Child,6.52,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.5,true,Female,Both,100.0%,"Poor Sleep, Eye Strain, Anxiety",TV,TV,1,Urban
8,Child,2.51,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.5,true,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,7.555,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.5,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,2,Rural
8,Child,3.52,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.5,true,Male,Both,100.0%,"Anxiety, Obesity Risk",TV,TV,1,Urban
8,Child,2.86,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.5,true,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,6.65,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.5,true,Male,Physical Health,100.0%,Eye Strain,TV,TV,1,Urban
8,Child,5.31,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.5,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,3,Urban
8,Child,5.26,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.5,true,Male,Physical Health,100.0%,"Poor Sleep, Obesity Risk",TV,TV,1,Urban
8,Child,1.87,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.51,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,0,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.51,false,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,5.2,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.51,true,Female,Mental Health,100.0%,Anxiety,TV,TV,1,Rural
8,Child,6.36,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.51,true,Female,Mental Health,100.0%,Anxiety,TV,TV,1,Urban
8,Child,6.28,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.51,true,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,2.69,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.51,true,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,4.23,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.51,true,Female,Physical Health,100.0%,Eye Strain,TV,TV,1,Urban
8,Child,5.91,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.51,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,1,Rural
8,Child,3.5,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.51,true,Female,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,1,Urban
8,Child,4.82,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.51,true,Male,Both,100.0%,"Poor Sleep, Eye Strain, Anxiety",TV,TV,1,Rural
8,Child,3.81,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.51,true,Male,Both,100.0%,"Poor Sleep, Eye Strain, Anxiety",TV,TV,1,Urban
8,Child,4.79,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.51,true,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,4.634,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.51,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,5,Urban
8,Child,6.42,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.51,true,Male,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,1,Urban
8,Child,6.73,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.51,true,Male,Physical Health,100.0%,"Poor Sleep, Obesity Risk",TV,TV,1,Urban
8,Child,0,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.52,false,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,1.21,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.52,false,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,5.22,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.52,true,Female,Both,100.0%,"Poor Sleep, Anxiety",TV,TV,1,Rural
8,Child,2.85,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.52,true,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,7.8,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.52,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,1,Rural
8,Child,5.35,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.52,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,1,Urban
8,Child,4.26,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.52,true,Female,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,2,Urban
8,Child,3.99,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.52,true,Male,No Health Impacts,,No Health Impacts,TV,TV,2,Rural
8,Child,5.105,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.52,true,Male,No Health Impacts,,No Health Impacts,TV,TV,2,Urban
8,Child,6.34,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.52,true,Male,Physical Health,100.0%,Eye Strain,TV,TV,1,Urban
8,Child,4.18,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.52,true,Male,Physical Health,100.0%,Obesity Risk,TV,TV,1,Urban
8,Child,6.733333333333333,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.52,true,Male,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,3,Urban
8,Child,1,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.53,false,Female,No Health Impacts,,No Health Impacts,TV,TV,2,Rural
8,Child,0.37,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.53,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,1.82,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.53,false,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,0.22,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.53,false,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,5.47,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.53,true,Female,Both,100.0%,"Eye Strain, Anxiety",TV,TV,1,Urban
8,Child,7.52,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.53,true,Female,Both,100.0%,"Poor Sleep, Eye Strain, Anxiety",TV,TV,1,Urban
8,Child,2.22,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.53,true,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,2.03,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.53,true,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,7.24,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.53,true,Female,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,1,Urban
8,Child,2.75,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.53,true,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,5.685,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.53,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,2,Rural
8,Child,7.593333333333334,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.53,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,3,Urban
8,Child,4,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.53,true,Male,Physical Health,100.0%,"Poor Sleep, Obesity Risk",TV,TV,1,Urban
8,Child,0.1,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.54,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
