Age,Age_Group,Gender,Avg_Daily_Screen_Time_hr,awareness,Primary_Device,Device_Category,Screen_Size,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Health_Impact_Category,Urban_or_Rural
17,Late teens,Male,4.96,Need Attention,Smartphone,Portable,<30,True,0.32,No health impacts,No Impact,Urban
13,Teenagers,Female,1.85,No harm,Smartphone,Portable,<30,False,0.49,No health impacts,No Impact,Urban
16,Teenagers,Male,4.22,Need Attention,Smartphone,Portable,<30,True,0.5,Poor Sleep,Mental,Urban
8,Pre-teens,Male,0.31,No harm,Smartphone,Portable,<30,False,0.51,No health impacts,No Impact,Urban
18,Late teens,Male,5.13,Need Attention,TV,Wallmounted,>30,True,0.43,"Poor Sleep, Obesity Risk",Both Physical and Mental,Urban
18,Late teens,Male,4.45,Need Attention,Smartphone,Portable,<30,True,0.48,Eye Strain,Physical,Urban
17,Late teens,Female,3.02,Need Attention,Smartphone,Portable,<30,True,0.39,No health impacts,No Impact,Rural
10,Pre-teens,Male,2.16,No harm,Tablet,Portable,<30,True,0.41,No health impacts,No Impact,Urban
14,Teenagers,Male,4.28,Need Attention,Smartphone,Portable,<30,True,0.34,Eye Strain,Physical,Rural
11,Pre-teens,Female,5.34,Need Attention,Smartphone,Portable,<30,True,0.4,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
16,Teenagers,Female,3.5,Need Attention,Laptop,Portable,<30,True,0.4,"Eye Strain, Obesity Risk",Physical,Rural
10,Pre-teens,Male,11.68,High Concern,TV,Wallmounted,>30,True,0.47,Poor Sleep,Mental,Urban
12,Pre-teens,Female,1.63,No harm,Smartphone,Portable,<30,False,0.5,No health impacts,No Impact,Urban
10,Pre-teens,Male,4.63,Need Attention,Smartphone,Portable,<30,True,0.47,Poor Sleep,Mental,Urban
14,Teenagers,Male,4.21,Need Attention,TV,Wallmounted,>30,True,0.38,Poor Sleep,Mental,Urban
12,Pre-teens,Male,4.56,Need Attention,Smartphone,Portable,<30,True,0.5,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
16,Teenagers,Female,3.51,Need Attention,TV,Wallmounted,>30,True,0.44,"Poor Sleep, Anxiety",Mental,Urban
14,Teenagers,Female,4.69,Need Attention,Smartphone,Portable,<30,True,0.35,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
9,Pre-teens,Male,7.61,Moderate Concern,TV,Wallmounted,>30,True,0.5,Poor Sleep,Mental,Urban
11,Pre-teens,Male,2.75,No harm,Smartphone,Portable,<30,False,0.35,No health impacts,No Impact,Rural
16,Teenagers,Male,6.74,Moderate Concern,TV,Wallmounted,>30,True,0.42,"Eye Strain, Anxiety, Obesity Risk",Both Physical and Mental,Urban
9,Pre-teens,Female,0.0,No harm,Smartphone,Portable,<30,False,0.47,No health impacts,No Impact,Urban
17,Late teens,Male,2.34,No harm,Smartphone,Portable,<30,False,0.48,No health impacts,No Impact,Rural
16,Teenagers,Male,2.85,No harm,Smartphone,Portable,<30,False,0.3,No health impacts,No Impact,Rural
17,Late teens,Male,4.29,Need Attention,Laptop,Portable,<30,True,0.39,"Poor Sleep, Eye Strain",Both Physical and Mental,Rural
12,Pre-teens,Male,6.03,Moderate Concern,TV,Wallmounted,>30,True,0.39,"Poor Sleep, Anxiety",Mental,Urban
9,Pre-teens,Female,1.06,No harm,Smartphone,Portable,<30,False,0.42,No health impacts,No Impact,Urban
11,Pre-teens,Male,2.83,No harm,Smartphone,Portable,<30,False,0.4,No health impacts,No Impact,Urban
14,Teenagers,Male,3.92,Need Attention,Smartphone,Portable,<30,True,0.47,No health impacts,No Impact,Urban
15,Teenagers,Male,4.55,Need Attention,Smartphone,Portable,<30,True,0.39,"Poor Sleep, Anxiety",Mental,Urban
10,Pre-teens,Female,6.86,Moderate Concern,Smartphone,Portable,<30,True,0.56,Poor Sleep,Mental,Rural
8,Pre-teens,Male,3.47,Need Attention,TV,Wallmounted,>30,True,0.41,"Poor Sleep, Obesity Risk",Both Physical and Mental,Rural
11,Pre-teens,Female,4.61,Need Attention,Tablet,Portable,<30,True,0.46,Poor Sleep,Mental,Urban
9,Pre-teens,Male,0.0,No harm,Smartphone,Portable,<30,False,0.59,No health impacts,No Impact,Rural
15,Teenagers,Male,3.47,Need Attention,Smartphone,Portable,<30,True,0.41,No health impacts,No Impact,Rural
11,Pre-teens,Male,4.31,Need Attention,TV,Wallmounted,>30,True,0.42,Poor Sleep,Mental,Urban
9,Pre-teens,Male,2.3,No harm,Smartphone,Portable,<30,True,0.45,No health impacts,No Impact,Urban
13,Teenagers,Male,4.5,Need Attention,Laptop,Portable,<30,True,0.38,No health impacts,No Impact,Urban
13,Teenagers,Female,2.65,No harm,Laptop,Portable,<30,False,0.38,No health impacts,No Impact,Rural
17,Late teens,Male,5.34,Need Attention,Laptop,Portable,<30,True,0.43,No health impacts,No Impact,Urban
11,Pre-teens,Male,3.87,Need Attention,TV,Wallmounted,>30,True,0.43,"Poor Sleep, Obesity Risk",Both Physical and Mental,Urban
13,Teenagers,Male,5.67,Need Attention,Tablet,Portable,<30,True,0.41,"Poor Sleep, Anxiety",Mental,Urban
9,Pre-teens,Female,3.8,Need Attention,TV,Wallmounted,>30,True,0.53,"Poor Sleep, Eye Strain",Both Physical and Mental,Rural
17,Late teens,Male,4.61,Need Attention,TV,Wallmounted,>30,True,0.34,"Poor Sleep, Obesity Risk",Both Physical and Mental,Rural
9,Pre-teens,Male,0.9,No harm,Tablet,Portable,<30,False,0.6,No health impacts,No Impact,Rural
17,Late teens,Female,3.3,Need Attention,TV,Wallmounted,>30,True,0.42,No health impacts,No Impact,Urban
11,Pre-teens,Male,5.12,Need Attention,TV,Wallmounted,>30,True,0.31,Poor Sleep,Mental,Urban
15,Teenagers,Female,5.82,Need Attention,TV,Wallmounted,>30,True,0.48,Poor Sleep,Mental,Urban
14,Teenagers,Female,4.27,Need Attention,Smartphone,Portable,<30,True,0.47,"Poor Sleep, Eye Strain",Both Physical and Mental,Rural
16,Teenagers,Male,5.79,Need Attention,Smartphone,Portable,<30,True,0.35,Poor Sleep,Mental,Urban
15,Teenagers,Female,2.69,No harm,TV,Wallmounted,>30,False,0.32,No health impacts,No Impact,Urban
12,Pre-teens,Female,3.64,Need Attention,Smartphone,Portable,<30,True,0.44,Poor Sleep,Mental,Urban
9,Pre-teens,Male,4.23,Need Attention,TV,Wallmounted,>30,True,0.46,No health impacts,No Impact,Urban
12,Pre-teens,Male,6.15,Moderate Concern,Laptop,Portable,<30,True,0.41,Poor Sleep,Mental,Urban
15,Teenagers,Female,5.72,Need Attention,Tablet,Portable,<30,True,0.33,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
17,Late teens,Male,3.41,Need Attention,Laptop,Portable,<30,True,0.31,No health impacts,No Impact,Rural
16,Teenagers,Male,4.45,Need Attention,Laptop,Portable,<30,True,0.48,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
16,Teenagers,Male,2.9,No harm,Smartphone,Portable,<30,False,0.31,No health impacts,No Impact,Urban
8,Pre-teens,Female,7.54,Moderate Concern,Smartphone,Portable,<30,True,0.46,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
16,Teenagers,Male,4.34,Need Attention,Tablet,Portable,<30,True,0.48,"Poor Sleep, Anxiety",Mental,Urban
14,Teenagers,Female,5.43,Need Attention,Smartphone,Portable,<30,True,0.49,No health impacts,No Impact,Urban
16,Teenagers,Female,4.78,Need Attention,Tablet,Portable,<30,True,0.33,"Poor Sleep, Anxiety",Mental,Rural
15,Teenagers,Female,3.64,Need Attention,Tablet,Portable,<30,True,0.48,"Poor Sleep, Anxiety, Obesity Risk",Both Physical and Mental,Urban
8,Pre-teens,Female,1.67,No harm,Smartphone,Portable,<30,False,0.45,No health impacts,No Impact,Rural
15,Teenagers,Female,4.96,Need Attention,Tablet,Portable,<30,True,0.42,"Anxiety, Obesity Risk",Both Physical and Mental,Rural
15,Teenagers,Male,5.91,Need Attention,Smartphone,Portable,<30,True,0.44,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
18,Late teens,Female,6.3,Moderate Concern,Tablet,Portable,<30,True,0.39,Poor Sleep,Mental,Rural
10,Pre-teens,Female,0.0,No harm,Tablet,Portable,<30,False,0.4,No health impacts,No Impact,Urban
8,Pre-teens,Male,3.39,Need Attention,TV,Wallmounted,>30,True,0.43,No health impacts,No Impact,Rural
15,Teenagers,Male,3.57,Need Attention,Smartphone,Portable,<30,True,0.32,"Poor Sleep, Obesity Risk",Both Physical and Mental,Rural
10,Pre-teens,Female,1.36,No harm,Smartphone,Portable,<30,False,0.57,No health impacts,No Impact,Urban
10,Pre-teens,Male,0.0,No harm,Smartphone,Portable,<30,False,0.45,No health impacts,No Impact,Rural
8,Pre-teens,Male,2.75,No harm,TV,Wallmounted,>30,True,0.53,No health impacts,No Impact,Rural
18,Late teens,Female,6.4,Moderate Concern,Smartphone,Portable,<30,True,0.32,No health impacts,No Impact,Urban
12,Pre-teens,Female,3.77,Need Attention,Laptop,Portable,<30,True,0.48,Poor Sleep,Mental,Rural
17,Late teens,Female,4.73,Need Attention,Smartphone,Portable,<30,True,0.47,Poor Sleep,Mental,Urban
14,Teenagers,Male,5.76,Need Attention,Tablet,Portable,<30,True,0.4,Poor Sleep,Mental,Urban
17,Late teens,Female,2.78,No harm,Smartphone,Portable,<30,False,0.34,No health impacts,No Impact,Urban
16,Teenagers,Female,3.93,Need Attention,Smartphone,Portable,<30,True,0.39,Poor Sleep,Mental,Rural
14,Teenagers,Male,4.61,Need Attention,TV,Wallmounted,>30,True,0.31,Obesity Risk,Physical,Urban
16,Teenagers,Male,5.67,Need Attention,TV,Wallmounted,>30,True,0.49,Poor Sleep,Mental,Urban
15,Teenagers,Female,4.51,Need Attention,Laptop,Portable,<30,True,0.4,Poor Sleep,Mental,Urban
9,Pre-teens,Female,0.45,No harm,Smartphone,Portable,<30,False,0.46,No health impacts,No Impact,Rural
8,Pre-teens,Male,2.52,No harm,Smartphone,Portable,<30,True,0.58,No health impacts,No Impact,Urban
14,Teenagers,Male,6.04,Moderate Concern,Smartphone,Portable,<30,True,0.39,No health impacts,No Impact,Urban
14,Teenagers,Female,6.1,Moderate Concern,Smartphone,Portable,<30,True,0.47,Poor Sleep,Mental,Rural
15,Teenagers,Male,5.61,Need Attention,Smartphone,Portable,<30,True,0.39,Obesity Risk,Physical,Urban
12,Pre-teens,Male,2.34,No harm,Smartphone,Portable,<30,False,0.37,No health impacts,No Impact,Urban
10,Pre-teens,Male,6.86,Moderate Concern,TV,Wallmounted,>30,True,0.56,Poor Sleep,Mental,Urban
15,Teenagers,Female,3.78,Need Attention,Laptop,Portable,<30,True,0.31,Poor Sleep,Mental,Rural
13,Teenagers,Male,4.67,Need Attention,Smartphone,Portable,<30,True,0.44,"Anxiety, Obesity Risk",Both Physical and Mental,Urban
18,Late teens,Male,3.25,Need Attention,Tablet,Portable,<30,True,0.45,"Poor Sleep, Eye Strain",Both Physical and Mental,Rural
10,Pre-teens,Male,4.98,Need Attention,Smartphone,Portable,<30,True,0.46,No health impacts,No Impact,Rural
8,Pre-teens,Male,5.22,Need Attention,Smartphone,Portable,<30,True,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Both Physical and Mental,Urban
10,Pre-teens,Female,5.02,Need Attention,TV,Wallmounted,>30,True,0.6,No health impacts,No Impact,Urban
12,Pre-teens,Male,6.06,Moderate Concern,Smartphone,Portable,<30,True,0.43,Eye Strain,Physical,Urban
10,Pre-teens,Female,1.86,No harm,Smartphone,Portable,<30,False,0.46,No health impacts,No Impact,Rural
8,Pre-teens,Female,6.48,Moderate Concern,Smartphone,Portable,<30,True,0.48,No health impacts,No Impact,Rural
12,Pre-teens,Male,4.37,Need Attention,Laptop,Portable,<30,True,0.46,Eye Strain,Physical,Rural
17,Late teens,Male,4.16,Need Attention,Laptop,Portable,<30,True,0.31,Poor Sleep,Mental,Rural
14,Teenagers,Female,3.91,Need Attention,Laptop,Portable,<30,True,0.39,Eye Strain,Physical,Urban
14,Teenagers,Male,4.54,Need Attention,Laptop,Portable,<30,True,0.41,Poor Sleep,Mental,Urban
18,Late teens,Female,4.59,Need Attention,Smartphone,Portable,<30,True,0.35,"Poor Sleep, Anxiety, Obesity Risk",Both Physical and Mental,Rural
16,Teenagers,Female,2.42,No harm,Smartphone,Portable,<30,False,0.45,No health impacts,No Impact,Urban
17,Late teens,Male,6.78,Moderate Concern,Smartphone,Portable,<30,True,0.49,Poor Sleep,Mental,Urban
17,Late teens,Female,4.19,Need Attention,TV,Wallmounted,>30,True,0.48,Obesity Risk,Physical,Rural
10,Pre-teens,Female,3.27,Need Attention,TV,Wallmounted,>30,True,0.48,"Poor Sleep, Eye Strain",Both Physical and Mental,Rural
14,Teenagers,Male,6.01,Moderate Concern,Tablet,Portable,<30,True,0.34,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
8,Pre-teens,Female,4.74,Need Attention,Smartphone,Portable,<30,True,0.5,"Eye Strain, Obesity Risk",Physical,Urban
11,Pre-teens,Female,3.42,Need Attention,Smartphone,Portable,<30,True,0.43,"Poor Sleep, Eye Strain, Obesity Risk",Both Physical and Mental,Urban
11,Pre-teens,Female,5.47,Need Attention,Smartphone,Portable,<30,True,0.41,"Poor Sleep, Anxiety",Mental,Urban
12,Pre-teens,Female,6.28,Moderate Concern,Smartphone,Portable,<30,True,0.32,Poor Sleep,Mental,Rural
14,Teenagers,Male,3.26,Need Attention,Smartphone,Portable,<30,True,0.46,"Poor Sleep, Anxiety",Mental,Urban
14,Teenagers,Male,6.06,Moderate Concern,Smartphone,Portable,<30,True,0.38,Anxiety,Mental,Urban
18,Late teens,Female,4.67,Need Attention,TV,Wallmounted,>30,True,0.32,Poor Sleep,Mental,Urban
11,Pre-teens,Male,3.75,Need Attention,Smartphone,Portable,<30,True,0.43,No health impacts,No Impact,Urban
14,Teenagers,Female,6.7,Moderate Concern,Smartphone,Portable,<30,True,0.3,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
18,Late teens,Female,3.58,Need Attention,Smartphone,Portable,<30,True,0.38,No health impacts,No Impact,Urban
10,Pre-teens,Female,2.51,No harm,TV,Wallmounted,>30,True,0.47,No health impacts,No Impact,Rural
13,Teenagers,Male,5.24,Need Attention,Smartphone,Portable,<30,True,0.43,Poor Sleep,Mental,Urban
9,Pre-teens,Female,0.0,No harm,Tablet,Portable,<30,False,0.49,No health impacts,No Impact,Rural
17,Late teens,Female,5.14,Need Attention,Smartphone,Portable,<30,True,0.36,Poor Sleep,Mental,Urban
16,Teenagers,Female,3.7,Need Attention,Tablet,Portable,<30,True,0.33,Eye Strain,Physical,Urban
12,Pre-teens,Male,4.79,Need Attention,TV,Wallmounted,>30,True,0.32,Poor Sleep,Mental,Urban
13,Teenagers,Male,3.3,Need Attention,Tablet,Portable,<30,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Both Physical and Mental,Rural
11,Pre-teens,Female,5.97,Need Attention,Smartphone,Portable,<30,True,0.5,Poor Sleep,Mental,Urban
18,Late teens,Female,3.05,Need Attention,Smartphone,Portable,<30,True,0.37,"Eye Strain, Anxiety, Obesity Risk",Both Physical and Mental,Urban
17,Late teens,Female,5.18,Need Attention,Smartphone,Portable,<30,True,0.42,Eye Strain,Physical,Urban
14,Teenagers,Female,3.66,Need Attention,Laptop,Portable,<30,True,0.33,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
16,Teenagers,Male,4.08,Need Attention,Smartphone,Portable,<30,True,0.47,No health impacts,No Impact,Urban
14,Teenagers,Female,4.41,Need Attention,TV,Wallmounted,>30,True,0.32,No health impacts,No Impact,Urban
8,Pre-teens,Female,4.84,Need Attention,Smartphone,Portable,<30,True,0.54,Poor Sleep,Mental,Urban
8,Pre-teens,Female,6.82,Moderate Concern,Smartphone,Portable,<30,True,0.52,No health impacts,No Impact,Rural
16,Teenagers,Female,4.6,Need Attention,Smartphone,Portable,<30,True,0.4,Poor Sleep,Mental,Urban
18,Late teens,Female,4.06,Need Attention,Smartphone,Portable,<30,True,0.44,Poor Sleep,Mental,Urban
16,Teenagers,Female,6.5,Moderate Concern,TV,Wallmounted,>30,True,0.49,No health impacts,No Impact,Urban
11,Pre-teens,Female,4.21,Need Attention,TV,Wallmounted,>30,True,0.3,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Both Physical and Mental,Rural
16,Teenagers,Female,7.07,Moderate Concern,Laptop,Portable,<30,True,0.36,Poor Sleep,Mental,Urban
10,Pre-teens,Male,2.48,No harm,Smartphone,Portable,<30,True,0.51,No health impacts,No Impact,Rural
14,Teenagers,Female,4.06,Need Attention,Smartphone,Portable,<30,True,0.42,Poor Sleep,Mental,Urban
13,Teenagers,Male,3.9,Need Attention,Smartphone,Portable,<30,True,0.36,No health impacts,No Impact,Urban
15,Teenagers,Female,2.38,No harm,TV,Wallmounted,>30,False,0.33,No health impacts,No Impact,Urban
18,Late teens,Female,6.59,Moderate Concern,Laptop,Portable,<30,True,0.39,Poor Sleep,Mental,Rural
16,Teenagers,Male,5.6,Need Attention,Laptop,Portable,<30,True,0.4,Poor Sleep,Mental,Rural
12,Pre-teens,Male,5.32,Need Attention,Laptop,Portable,<30,True,0.31,Poor Sleep,Mental,Urban
8,Pre-teens,Male,4.82,Need Attention,TV,Wallmounted,>30,True,0.51,"Poor Sleep, Eye Strain, Anxiety",Both Physical and Mental,Rural
10,Pre-teens,Male,3.69,Need Attention,TV,Wallmounted,>30,True,0.56,Poor Sleep,Mental,Urban
17,Late teens,Male,4.17,Need Attention,TV,Wallmounted,>30,True,0.39,Poor Sleep,Mental,Urban
15,Teenagers,Male,4.09,Need Attention,TV,Wallmounted,>30,True,0.35,"Poor Sleep, Anxiety",Mental,Urban
18,Late teens,Male,5.83,Need Attention,Smartphone,Portable,<30,True,0.39,Anxiety,Mental,Rural
13,Teenagers,Female,4.74,Need Attention,Laptop,Portable,<30,True,0.44,Poor Sleep,Mental,Rural
15,Teenagers,Female,4.01,Need Attention,TV,Wallmounted,>30,True,0.39,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
16,Teenagers,Female,2.59,No harm,Laptop,Portable,<30,False,0.44,No health impacts,No Impact,Urban
11,Pre-teens,Female,4.94,Need Attention,Smartphone,Portable,<30,True,0.45,Poor Sleep,Mental,Urban
8,Pre-teens,Male,4.15,Need Attention,TV,Wallmounted,>30,True,0.59,Eye Strain,Physical,Rural
8,Pre-teens,Male,0.3,No harm,TV,Wallmounted,>30,False,0.48,No health impacts,No Impact,Urban
17,Late teens,Female,4.75,Need Attention,Tablet,Portable,<30,True,0.37,Obesity Risk,Physical,Rural
11,Pre-teens,Male,5.12,Need Attention,Laptop,Portable,<30,True,0.48,No health impacts,No Impact,Urban
14,Teenagers,Male,3.2,Need Attention,Smartphone,Portable,<30,True,0.4,"Poor Sleep, Obesity Risk",Both Physical and Mental,Urban
9,Pre-teens,Male,5.72,Need Attention,Smartphone,Portable,<30,True,0.51,Eye Strain,Physical,Urban
10,Pre-teens,Male,6.8,Moderate Concern,TV,Wallmounted,>30,True,0.43,No health impacts,No Impact,Rural
8,Pre-teens,Female,4.73,Need Attention,Tablet,Portable,<30,True,0.42,"Poor Sleep, Anxiety",Mental,Urban
12,Pre-teens,Male,1.51,No harm,Smartphone,Portable,<30,False,0.5,No health impacts,No Impact,Urban
8,Pre-teens,Female,7.74,Moderate Concern,Tablet,Portable,<30,True,0.5,Poor Sleep,Mental,Urban
15,Teenagers,Female,5.08,Need Attention,Smartphone,Portable,<30,True,0.33,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
8,Pre-teens,Female,1.13,No harm,TV,Wallmounted,>30,False,0.41,No health impacts,No Impact,Urban
18,Late teens,Male,5.12,Need Attention,Smartphone,Portable,<30,True,0.46,"Poor Sleep, Eye Strain, Obesity Risk",Both Physical and Mental,Rural
8,Pre-teens,Male,6.34,Moderate Concern,TV,Wallmounted,>30,True,0.51,Poor Sleep,Mental,Urban
9,Pre-teens,Female,5.05,Need Attention,Smartphone,Portable,<30,True,0.58,Poor Sleep,Mental,Urban
9,Pre-teens,Female,0.73,No harm,Smartphone,Portable,<30,False,0.58,No health impacts,No Impact,Urban
13,Teenagers,Male,5.49,Need Attention,Smartphone,Portable,<30,True,0.45,Poor Sleep,Mental,Urban
14,Teenagers,Female,4.51,Need Attention,Laptop,Portable,<30,True,0.36,Poor Sleep,Mental,Urban
12,Pre-teens,Male,2.9,No harm,Smartphone,Portable,<30,False,0.48,No health impacts,No Impact,Urban
8,Pre-teens,Male,6.29,Moderate Concern,Tablet,Portable,<30,True,0.49,Poor Sleep,Mental,Urban
8,Pre-teens,Male,2.1,No harm,Smartphone,Portable,<30,True,0.5,No health impacts,No Impact,Urban
10,Pre-teens,Female,4.53,Need Attention,TV,Wallmounted,>30,True,0.47,Poor Sleep,Mental,Urban
9,Pre-teens,Female,2.44,No harm,Tablet,Portable,<30,True,0.48,No health impacts,No Impact,Rural
12,Pre-teens,Female,2.14,No harm,Smartphone,Portable,<30,False,0.4,No health impacts,No Impact,Urban
17,Late teens,Female,2.72,No harm,Smartphone,Portable,<30,False,0.33,No health impacts,No Impact,Urban
13,Teenagers,Female,4.49,Need Attention,Smartphone,Portable,<30,True,0.41,"Poor Sleep, Anxiety",Mental,Urban
14,Teenagers,Female,3.15,Need Attention,Tablet,Portable,<30,True,0.38,No health impacts,No Impact,Urban
11,Pre-teens,Male,3.74,Need Attention,Smartphone,Portable,<30,True,0.42,"Eye Strain, Anxiety",Both Physical and Mental,Rural
14,Teenagers,Female,3.82,Need Attention,Tablet,Portable,<30,True,0.46,Poor Sleep,Mental,Urban
18,Late teens,Female,6.53,Moderate Concern,TV,Wallmounted,>30,True,0.43,Poor Sleep,Mental,Urban
15,Teenagers,Female,4.54,Need Attention,Laptop,Portable,<30,True,0.46,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
18,Late teens,Female,3.87,Need Attention,Laptop,Portable,<30,True,0.36,No health impacts,No Impact,Urban
8,Pre-teens,Female,0.1,No harm,Tablet,Portable,<30,False,0.5,No health impacts,No Impact,Rural
13,Teenagers,Male,4.44,Need Attention,Smartphone,Portable,<30,True,0.39,Poor Sleep,Mental,Urban
15,Teenagers,Male,4.75,Need Attention,Smartphone,Portable,<30,True,0.44,No health impacts,No Impact,Rural
12,Pre-teens,Female,3.65,Need Attention,Tablet,Portable,<30,True,0.4,Eye Strain,Physical,Urban
11,Pre-teens,Male,3.85,Need Attention,Laptop,Portable,<30,True,0.31,"Poor Sleep, Eye Strain, Obesity Risk",Both Physical and Mental,Urban
9,Pre-teens,Male,2.32,No harm,TV,Wallmounted,>30,True,0.51,No health impacts,No Impact,Urban
13,Teenagers,Male,3.65,Need Attention,Laptop,Portable,<30,True,0.37,"Poor Sleep, Eye Strain",Both Physical and Mental,Rural
13,Teenagers,Female,5.78,Need Attention,TV,Wallmounted,>30,True,0.43,"Poor Sleep, Obesity Risk",Both Physical and Mental,Rural
18,Late teens,Male,2.96,No harm,TV,Wallmounted,>30,False,0.43,No health impacts,No Impact,Urban
8,Pre-teens,Female,0.91,No harm,Smartphone,Portable,<30,False,0.43,No health impacts,No Impact,Urban
16,Teenagers,Male,4.17,Need Attention,Smartphone,Portable,<30,True,0.36,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
18,Late teens,Male,3.98,Need Attention,Laptop,Portable,<30,True,0.37,Poor Sleep,Mental,Urban
13,Teenagers,Male,2.94,No harm,Smartphone,Portable,<30,False,0.43,No health impacts,No Impact,Urban
10,Pre-teens,Female,6.63,Moderate Concern,TV,Wallmounted,>30,True,0.54,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
11,Pre-teens,Male,2.9,No harm,TV,Wallmounted,>30,False,0.36,No health impacts,No Impact,Urban
18,Late teens,Female,5.84,Need Attention,Smartphone,Portable,<30,True,0.43,Eye Strain,Physical,Urban
11,Pre-teens,Male,4.78,Need Attention,Smartphone,Portable,<30,True,0.39,"Poor Sleep, Anxiety",Mental,Rural
10,Pre-teens,Male,4.13,Need Attention,Smartphone,Portable,<30,True,0.4,Poor Sleep,Mental,Urban
17,Late teens,Male,3.67,Need Attention,Smartphone,Portable,<30,True,0.34,Poor Sleep,Mental,Urban
10,Pre-teens,Male,3.02,Need Attention,TV,Wallmounted,>30,True,0.46,"Poor Sleep, Obesity Risk",Both Physical and Mental,Rural
10,Pre-teens,Female,1.92,No harm,TV,Wallmounted,>30,False,0.41,No health impacts,No Impact,Urban
